,1a. open (GBP),1b. open (USD),2a. high (GBP),2b. high (USD),3a. low (GBP),3b. low (USD),4a. close (GBP),4b. close (USD),5. volume,6. market cap (USD)
23/02/2024,40451.17685,51288.42,40656.3335,51548.54,40089.621,50830,40383.0174,51202,12827.92776,12827.92776
22/02/2024,40893.60601,51849.38,41064.28069,52065.78,40176.99319,50940.78,40451.17685,51288.42,35309.44574,35309.44574
21/02/2024,41216.53133,52258.82,41301.69516,52366.8,39927.9375,50625,40893.61389,51849.39,43079.40049,43079.40049
20/02/2024,40834.73744,51774.74,41789.2695,52985,40034.70382,50760.37,41216.53133,52258.82,49614.47318,49614.47318
19/02/2024,41120.98822,52137.68,41397.8929,52488.77,40757.6499,51677,40834.72955,51774.73,29534.99432,29534.99432
18/02/2024,40730.55017,51642.64,41309.7399,52377,40352.47894,51163.28,41120.98033,52137.67,21992.10363,21992.10363
17/02/2024,41110.27767,52124.1,41140.81613,52162.82,39927.9375,50625,40730.55017,51642.64,25674.00622,25674.00622
16/02/2024,40917.76389,51880.01,41463.5995,52572.08,40670.1042,51566,41110.28556,52124.11,37772.25318,37772.25318
15/02/2024,40850.85058,51795.17,41656.46819,52816.62,40471.3518,51314,40917.756,51880,53816.03055,53816.03055
14/02/2024,39198.07452,49699.6,41046.87408,52043.71,38823.76539,49225.01,40850.85058,51795.17,57046.37401,57046.37401
13/02/2024,39369.75874,49917.28,39725.72271,50368.61,38094.95927,48300.95,39198.06663,49699.59,55551.56706,55551.56706
12/02/2024,38094.21,48300,39699.07253,50334.82,37628.88489,47710.01,39369.75085,49917.27,59009.96705,59009.96705
11/02/2024,37661.2768,47751.08,38325.03094,48592.66,37508.33209,47557.16,38094.20211,48299.99,29958.80837,29958.80837
10/02/2024,37173.62359,47132.78,37991.679,48170,36911.16,46800,37661.28468,47751.09,24802.35936,24802.35936
09/02/2024,35719.16614,45288.66,38015.34,48200,35682.46004,45242.12,37173.6157,47132.77,73503.481,73503.481
08/02/2024,34978.52952,44349.6,35975.99841,45614.3,34963.93857,44331.1,35719.15826,45288.65,45439.62231,45439.62231
07/02/2024,33992.14975,43098.96,35015.51955,44396.5,33746.8956,42788,34978.52952,44349.6,34392.59915,34392.59915
06/02/2024,33684.35169,42708.7,34229.56423,43399.98,33578.1138,42574,33992.14187,43098.95,24675.85433,24675.85433
05/02/2024,33585.11746,42582.88,34363.46971,43569.76,33328.96347,42258.1,33684.35169,42708.7,29467.75905,29467.75905
04/02/2024,33922.85457,43011.1,34007.98685,43119.04,33300.4914,42222,33585.11746,42582.88,17066.89404,17066.89404
03/02/2024,34071.83211,43199.99,34213.81389,43380.01,33819.456,42880,33922.84668,43011.09,12033.40998,12033.40998
02/02/2024,33979.52267,43082.95,34298.9856,43488,33556.65327,42546.79,34071.84,43200,29672.14418,29672.14418
01/02/2024,33582.846,42580,34138.98203,43285.13,33034.13164,41884.28,33979.51478,43082.94,35231.04664,35231.04664
31/01/2024,33867.64557,42941.1,34501.76826,43745.11,33343.74371,42276.84,33582.846,42580,39871.13688,39871.13688
30/01/2024,34152.84738,43302.71,34610.01733,43882.36,33664.86291,42683.99,33867.64557,42941.1,37619.24546,37619.24546
29/01/2024,33149.88914,42031.05,34176.7371,43333,32971.50886,41804.88,34152.83949,43302.7,31542.74207,31542.74207
